"delta","qrpEnv","censor","tau","3PSM_10","3PSM_100","3PSM_30","3PSM_60","4PSM_10","4PSM_100","4PSM_30","4PSM_60","pcurve_10","pcurve_100","pcurve_30","pcurve_60","PEESE_10","PEESE_100","PEESE_30","PEESE_60","PET_10","PET_100","PET_30","PET_60","PETPEESE_10","PETPEESE_100","PETPEESE_30","PETPEESE_60","puniform_10","puniform_100","puniform_30","puniform_60","reMA_10","reMA_100","reMA_30","reMA_60","TF_10","TF_100","TF_30","TF_60","WAAP-WLS_10","WAAP-WLS_100","WAAP-WLS_30","WAAP-WLS_60"
0.2,"med","none",0,0.889227642276423,0.524175824175824,0.803921568627451,0.679365079365079,0.848577235772358,0.546739130434783,0.848140495867769,0.749206349206349,NA,NA,NA,NA,0.966,0.927,0.958,0.95,0.941,0.733,0.898,0.851,0.938,0.826,0.894,0.864,0.989266547406082,0.842105263157895,0.993517017828201,0.97360248447205,0.896,0.369,0.723,0.596,0.940464177598386,0.822110552763819,0.900507614213198,0.875,0.939,0.836,0.857,0.85
0.5,"med","none",0,0.875,0.790570175438597,0.874356333676622,0.857142857142857,0.665322580645161,0.758771929824561,0.734567901234568,0.764021164021164,NA,NA,NA,NA,0.886,0.7,0.851,0.789,0.839,0.363,0.709,0.537,0.849,0.7,0.835,0.789,0.947478991596639,0.483,0.813813813813814,0.657,0.918,0.48,0.805,0.651,0.933741080530071,0.941048034934498,0.9447983014862,0.938311688311688,0.954,0.937,0.943,0.941
0.8,"med","none",0,0.885279187817259,0.872998932764141,0.917780061664954,0.912551440329218,0.781725888324873,0.782283884738527,0.811921891058582,0.831275720164609,NA,NA,NA,NA,0.895,0.633,0.824,0.772,0.868,0.489,0.782,0.646,0.889,0.633,0.824,0.772,0.912912912912913,0.725,0.886,0.834,0.942,0.864,0.913,0.899,0.928939237899073,0.875406283856988,0.915183246073298,0.929562433297759,0.923,0.934,0.927,0.946
0,"med","none",0.2,0.794577685088634,0.345,0.706532663316583,0.530120481927711,0.794354838709677,0.342342342342342,0.691146881287726,0.508032128514056,NA,NA,NA,NA,0.89,0.713,0.821,0.772,0.885,0.652,0.788,0.721,0.881,0.658,0.795,0.732,0.886917960088692,0.897674418604651,0.876500857632933,0.875796178343949,0.913,0.853,0.925,0.896,0.912825651302605,0.905,0.933,0.905,0.914,0.845,0.896,0.868
0.2,"med","none",0.2,0.728370221327968,0.210420841683367,0.55533199195171,0.390170511534604,0.790954773869347,0.24024024024024,0.64551863041289,0.472945891783567,NA,NA,NA,NA,0.856,0.655,0.774,0.725,0.841,0.566,0.728,0.637,0.835,0.568,0.722,0.639,0.938375350140056,0.953319502074689,0.948130277442702,0.932092004381161,0.883,0.694,0.87,0.798,0.917917917917918,0.943,0.933933933933934,0.947,0.92,0.904,0.906,0.917
0.5,"med","none",0.2,0.842842842842843,0.317,0.791374122367101,0.542627883650953,0.593593593593594,0.412,0.724172517552658,0.688064192577733,NA,NA,NA,NA,0.818,0.564,0.701,0.61,0.773,0.463,0.644,0.525,0.774,0.564,0.662,0.605,0.941727367325702,0.858,0.907723169508526,0.891,0.863,0.632,0.834,0.746,0.880490296220633,0.834685598377282,0.902992776057791,0.871926229508197,0.924,0.887,0.909,0.89
0.8,"med","none",0.2,0.83433734939759,0.721,0.918918918918919,0.858858858858859,0.632530120481928,0.498,0.643643643643644,0.595595595595596,NA,NA,NA,NA,0.834,0.546,0.727,0.641,0.82,0.479,0.708,0.585,0.818,0.546,0.727,0.641,0.906906906906907,0.821,0.907,0.871,0.916,0.824,0.899,0.863,0.886128364389234,0.635164835164835,0.829032258064516,0.735099337748344,0.915,0.797,0.88,0.84
0,"med","none",0.4,0.763104838709677,0.337,0.598,0.465,0.735735735735736,0.451,0.604,0.534,NA,NA,NA,NA,0.86,0.645,0.72,0.685,0.843,0.613,0.684,0.647,0.852,0.634,0.692,0.673,0.723756906077348,0.304480651731161,0.623681125439625,0.496794871794872,0.931,0.9,0.934,0.917,0.939,0.882,0.935,0.917,0.908,0.813,0.856,0.844
0.2,"med","none",0.4,0.712712712712713,0.26,0.598,0.452,0.752,0.433,0.702,0.599,NA,NA,NA,NA,0.826,0.521,0.689,0.623,0.81,0.51,0.667,0.599,0.809,0.526,0.674,0.614,0.78281068524971,0.298,0.680785123966942,0.494979919678715,0.909,0.871,0.915,0.897,0.922,0.739,0.938,0.874,0.918,0.802,0.871,0.852
0.5,"med","none",0.4,0.83,0.213,0.721,0.459,0.732,0.355,0.844,0.643,NA,NA,NA,NA,0.773,0.461,0.657,0.542,0.761,0.457,0.617,0.528,0.755,0.46,0.636,0.526,0.867283950617284,0.554,0.784,0.697,0.908,0.853,0.906,0.891,0.92245720040282,0.486,0.881,0.685,0.902,0.926,0.897,0.922
