"delta","qrpEnv","censor","tau","3PSM_10","3PSM_60","4PSM_10","4PSM_60","pcurve_10","pcurve_60","PEESE_10","PEESE_60","PET_10","PET_60","PETPEESE_10","PETPEESE_60","puniform_10","puniform_60","reMA_10","reMA_60","TF_10","TF_60","WAAP-WLS_10","WAAP-WLS_60"
0,"none","none",0,0.278919846134662,0.0289796874927797,0.235313181539415,0.0439548724332704,0.573286456727867,0.388988737377133,0.0999566232719644,0.0286723370210267,0.179168907752878,0.0433034149759048,0.168036086059469,0.0406586061208658,0.54063047766658,0.372100535762255,0.0688630059120885,0.0240004082915369,0.0712738153931441,0.0249873900855121,0.0647916883800056,0.0234537149235866
0.5,"none","none",0,0.0882367383224719,0.0277975903541833,0.117052469148827,0.0289151066578403,0.146030225531507,0.0411683438798956,0.0999664412901655,0.0303729724628243,0.176255509157222,0.0469374613726694,0.144037498738445,0.0303729724628243,0.142196778959537,0.0395193584151049,0.0688375276855422,0.0232357978582821,0.0710381466112491,0.0252970982533081,0.0715106558586616,0.0282862832365095
0,"none","none",0.2,0.354406192771693,0.0541995485701237,0.313874014689481,0.0860085912873428,0.451810340052478,0.307365655710777,0.173098671359444,0.0794348247869773,0.277890498582875,0.121154936030313,0.249875800368649,0.102956320341165,0.422801122858259,0.30234787626787,0.107370047853147,0.0412051705526967,0.116631656919415,0.0489708911326551,0.122963084956021,0.0614638102543879
0.5,"none","none",0.2,0.14603768466055,0.0590486111324893,0.195372248900392,0.071333874820146,0.188568856807607,0.089594703096505,0.182143092803663,0.0818475361106107,0.293930809266339,0.124254691442861,0.248931802192784,0.0831970285848356,0.18045965035129,0.0866212776346026,0.103205998668016,0.0407057409412745,0.114338692594153,0.0539547498677054,0.142043550491911,0.0849450253665573
0,"none","high",0,0.191832465773968,0.115286568778109,0.156661055765833,0.0712041917982584,0.226074289381891,0.088147114372668,0.184889412879269,0.130077380586679,0.176822415150097,0.0419067197079643,0.17495897064308,0.0497143895533107,0.216112251706324,0.0893668591656847,0.358276567696767,0.325989403597613,0.275859560677089,0.221474220679307,0.293326697012721,0.149062778287459
0.5,"none","high",0,0.0671407608830747,0.0217460274757941,0.0703483728945374,0.0218726349005568,0.0898499045770584,0.0286059956795045,0.0682907331946559,0.0308439229389507,0.177636893822717,0.100638767563445,0.132622050797929,0.0308439229389507,0.0863762957893956,0.0278031727514212,0.0849394842647338,0.0502677147975128,0.0564282542974246,0.0201280713928954,0.0564037384905391,0.0214678869021311
0,"none","high",0.2,0.227661785140842,0.123259125174388,0.236701630524458,0.125615754402716,0.277414371285242,0.255488161221294,0.24362647614665,0.198505256583583,0.219661766297436,0.126867997997597,0.238698368201468,0.183740993286648,0.276534339913323,0.25434377922853,0.374793589973511,0.363784847132427,0.295332115821723,0.267840423466899,0.278106793535204,0.196299503452684
0.5,"none","high",0.2,0.132105831682216,0.0565123960646785,0.140326309955477,0.0621090224947935,0.135370068917754,0.0779228043938895,0.12956559563757,0.06156360582786,0.238440497853628,0.130000257419083,0.21395932865709,0.06156360582786,0.130685750653634,0.0729201228237463,0.164796742636014,0.134593637037508,0.121833309651942,0.0560312959239822,0.130382331161571,0.0677730672646207
