"delta","qrpEnv","censor","tau","3PSM_10","3PSM_60","4PSM_10","4PSM_60","pcurve_10","pcurve_60","PEESE_10","PEESE_60","PET_10","PET_60","PETPEESE_10","PETPEESE_60","puniform_10","puniform_60","reMA_10","reMA_60","TF_10","TF_60","WAAP-WLS_10","WAAP-WLS_60"
0,"none","none",0,0.92027027027027,0.958448753462604,0.913419913419913,0.940239043824701,NA,NA,0.95,0.95,0.953,0.948,0.953,0.951,0.949640287769784,0.940740740740741,0.956,0.959,0.94331983805668,0.951942740286299,0.958,0.956
0.5,"none","none",0,0.932984293193717,0.968944099378882,0.873563218390805,0.966376089663761,NA,NA,0.954,0.953,0.948,0.947,0.951,0.953,0.97025641025641,0.962,0.966,0.964,0.955375253549696,0.950253807106599,0.953,0.961
0,"none","none",0.2,0.868965517241379,0.943,0.805985552115583,0.928928928928929,NA,NA,0.824,0.705,0.83,0.698,0.842,0.712,0.697336561743341,0.633674630261661,0.885,0.943,0.86491935483871,0.905905905905906,0.847,0.75
0.5,"none","none",0.2,0.877157360406091,0.931795386158475,0.767276422764228,0.949849548645938,NA,NA,0.831,0.681,0.827,0.661,0.829,0.681,0.903553299492386,0.78,0.92,0.945,0.900507614213198,0.877632898696088,0.898,0.88
0,"none","high",0,0.679540709812109,0.176312247644684,0.574267782426778,0.352459016393443,NA,NA,0.607,0.009,0.944,0.942,0.925,0.932,0.944111776447106,0.90495867768595,0.022,0,0.278350515463918,0,0.153,0.549
0.5,"none","high",0,0.910772578890098,0.960843373493976,0.836779107725789,0.920060331825038,NA,NA,0.888,0.73,0.721,0.178,0.85,0.73,0.937937937937938,0.958,0.863,0.424,0.93698347107438,0.934711643090316,0.939,0.912
0,"none","high",0.2,0.518878101402373,0.647236180904523,0.393972012917115,0.86258776328987,NA,NA,0.284,0.047,0.665,0.416,0.595,0.363,0.522552255225523,0.018018018018018,0.06,0,0.252545824847251,0.00100300902708124,0.463,0.356
0.5,"none","high",0.2,0.78076525336091,0.930792377131394,0.601861427094106,0.665997993981946,NA,NA,0.759,0.672,0.693,0.455,0.684,0.672,0.864864864864865,0.66,0.588,0.021,0.77939646201873,0.767491926803014,0.81,0.713
