"delta","qrpEnv","censor","tau","3PSM_10","3PSM_60","4PSM_10","4PSM_60","pcurve_10","pcurve_60","PEESE_10","PEESE_60","PET_10","PET_60","PETPEESE_10","PETPEESE_60","puniform_10","puniform_60","reMA_10","reMA_60","TF_10","TF_60","WAAP-WLS_10","WAAP-WLS_60"
0,"none","none",0,0.0297297297297297,0.0207756232686981,0.0346320346320346,0.0345285524568393,0.0555555555555556,0.0567741935483871,0.05,0.05,0.047,0.052,0.047,0.049,0,0.0296296296296296,0.044,0.041,0.0566801619433198,0.0480572597137014,0.042,0.044
0.5,"none","none",0,0.96020942408377,1,0.949843260188088,1,0.892785571142285,1,0.959,1,0.78,1,0.843,1,0.687179487179487,1,1,1,0.997971602434077,1,0.813,1
0,"none","none",0.2,0.0459770114942529,0.01,0.0629514963880289,0.011011011011011,0.324225865209472,0.560804020100503,0.176,0.295,0.17,0.302,0.158,0.288,0.0799031476997579,0.346985210466439,0.115,0.057,0.13508064516129,0.0940940940940941,0.153,0.25
0.5,"none","none",0.2,0.845685279187817,1,0.814024390243902,0.992978936810431,0.918918918918919,1,0.836,1,0.577,0.998,0.675,0.998,0.714720812182741,1,0.995,1,0.970558375634518,1,0.697,0.987
0,"none","high",0,0.319415448851775,0.823687752355316,0.408995815899582,0.637978142076503,0.0510510510510511,0.059,0.393,0.991,0.056,0.058,0.075,0.068,0.0558882235528942,0.0950413223140496,0.978,1,0.721649484536082,1,0.847,0.451
0.5,"none","high",0,0.976060935799782,1,0.99455930359086,1,0.986,1,0.999,1,0.837,1,0.887,1,0.906906906906907,1,1,1,1,1,0.964,1
0,"none","high",0.2,0.458468176914779,0.346733668341709,0.536060279870829,0.0932798395185557,0.696,0.999,0.716,0.953,0.335,0.584,0.405,0.637,0.46974697469747,0.981981981981982,0.94,1,0.747454175152749,0.998996990972919,0.537,0.644
0.5,"none","high",0.2,0.927611168562565,0.995987963891675,0.984488107549121,0.997993981945838,0.995,1,0.991,1,0.684,1,0.753,1,0.943943943943944,1,1,1,0.997918834547347,1,0.891,1
