"","x"
"640",35
"641",60
"642",93
"643",171
"644",147
"645",142
"646",34
"647",107
"648",76
"649",18
"650",41
"651",107
"652",56
"653",57
"654",29
"655",32
"656",35
"657",54
"658",78
"659",44
"660",48
"661",47
"662",54
"663",54
"664",24
"665",13
"666",10
"667",64
"668",44
"669",52
"670",56
"671",55
"672",62
"673",68
"674",53
"675",46
"676",51
"677",206
"678",27
"679",44
"680",79
"681",62
"682",20
"683",17
"684",44
"685",48
"686",32
"687",21
"688",103
"689",48
"690",77
"691",56
"692",49
"693",29
"694",40
"695",46
"696",63
"697",46
"698",90
"699",118
"700",84
"701",60
"702",125
"703",11
"704",27
"705",24
"706",62
"707",110
"708",28
"709",38
"710",17
"711",218
"712",34
"713",24
"714",19
"715",14
"716",52
"717",118
"718",62
"719",76
"720",153
"721",37
"722",44
"723",45
"724",36
"725",87
"726",90
"727",89
"728",39
"729",38
"730",51
"731",39
"732",48
"733",38
"734",45
"735",60
"736",110
"737",54
"738",58
"739",56
"740",84
"741",87
"742",14
"743",17
"744",42
"745",33
"746",25
"747",63
"748",17
"749",23
"750",15
"751",25
"752",16
"753",82
"754",29
"755",54
"756",60
"757",78
"758",166
"759",30
"760",40
"761",40
"762",66
"763",71
"764",50
"765",35
"766",103
"767",34
"768",54
"769",59
"770",53
"771",69
"772",41
"773",47
"774",41
"775",25
"776",15
"777",40
"778",27
"779",20
"780",18
"781",19
"782",10
"783",22
"784",22
"785",72
"786",135
"787",39
"788",56
"789",16
"790",12
"791",28
"792",32
"793",21
"794",90
"795",99
"796",125
"797",64
"798",29
"799",53
"800",166
"801",51
"802",66
"803",49
"804",53
"805",26
"806",31
"807",23
"808",60
"809",29
"810",27
"811",28
"812",51
"813",21
"814",21
"815",19
"816",28
"817",130
"818",132
"819",71
"820",65
"821",30
"822",92
"823",68
"824",89
"825",82
"826",59
"827",51
"828",64
"829",90
"830",79
"831",22
"832",35
"833",48
"834",30
"835",48
"836",21
"837",18
"838",79
"839",19
"840",20
"841",20
"842",40
"843",78
"844",39
"845",71
"846",35
"847",34
"848",63
"849",49
"850",84
"851",40
"852",109
"853",22
"854",68
"855",122
"856",84
"857",44
"858",51
"859",155
"860",45
"861",46
"862",41
"863",185
"864",44
"865",45
"866",46
"867",59
"868",30
"869",45
"870",48
"871",33
"872",80
"873",14
"874",264
"875",33
"876",42
"877",18
"878",48
"879",39
"880",49
"881",62
"882",129
"883",114
"884",34
"885",42
"886",17
"887",26
"888",42
"889",91
"890",61
"891",93
"892",12
"893",25
"894",49
"895",46
"896",23
"897",93
"898",296
"899",21
"900",24
"901",46
"902",96
"903",36
"904",51
"905",46
"906",33
"907",19
"908",19
"909",51
"910",45
"911",251
