"","condition","k","k.label","delta","delta.label","qrpEnv","qrp.label","selProp","selProp.label","tau","tau.label","method","meanEst","ME","RMSE","MAD","perc2.5","perc97.5","coverage","consisZero"
"24",195,60,"k = 60",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","TF",0.159077312562907,0.159077312562907,0.162038193468732,0.159077312562907,0.106292283737018,0.218371941380808,0,0
"25",195,60,"k = 60",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","PET.lm",0.0936343124976483,0.0936343124976483,0.347937432805769,0.27328089007825,-0.642864715393206,0.730015648272785,0.917,0.917
"26",195,60,"k = 60",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","PEESE.lm",0.135762540380487,0.135762540380487,0.22488485613876,0.184110598106756,-0.251439617620712,0.46807774126949,0.838,0.838
"27",195,60,"k = 60",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","PETPEESE.lm",0.0897360803439802,0.0897360803439802,0.304013557789502,0.249398327591574,-0.511068798981111,0.600791839303761,0.929,0.929
"28",195,60,"k = 60",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","pcurve.evidence",NA,NA,NA,NA,NA,NA,NA,NA
"29",195,60,"k = 60",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","pcurve.lack",NA,NA,NA,NA,NA,NA,NA,NA
"30",195,60,"k = 60",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","pcurve",0.265983245652052,0.265983245652052,0.267595362359408,0.265983245652052,0.207660762103118,0.321679931976657,NA,NA
"31",195,60,"k = 60",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","puniform",0.263338974136726,0.263338974136726,0.264938028690142,0.263338974136726,0.208545406446076,0.317669245799893,0,0
"32",195,60,"k = 60",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","topN.fixed",0.191010690037878,0.191010690037878,0.192106118245713,0.191010690037878,0.153059005951809,0.23397582014653,0,0
"33",195,60,"k = 60",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","3PSM",0.00205718135063657,0.00205718135063657,0.0526892912639131,0.0421038333786946,-0.100954756615931,0.103887652428789,0.945,0.945
"34",196,100,"k = 100",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","reMA",0.191688442587558,0.191688442587558,0.192352684898482,0.191688442587558,0.160127288771956,0.222300463933147,0,0
"35",196,100,"k = 100",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","TF",0.156894007784127,0.156894007784127,0.159494226796329,0.156894007784127,0.109805582699159,0.210917588515613,0,0
"36",196,100,"k = 100",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","PET.lm",0.0958203842099201,0.0958203842099201,0.269479835171267,0.219592080681713,-0.430146203070338,0.554609085379833,0.915,0.915
"37",196,100,"k = 100",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","PEESE.lm",0.137572466934398,0.137572466934398,0.192826185258626,0.162742608572275,-0.141997349404086,0.382402942739087,0.77,0.77
"38",196,100,"k = 100",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","PETPEESE.lm",0.0928992084362963,0.0928992084362963,0.23933241274797,0.202783266191172,-0.352780102227948,0.451936513978386,0.93,0.93
"39",196,100,"k = 100",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","pcurve.evidence",NA,NA,NA,NA,NA,NA,NA,NA
"40",196,100,"k = 100",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","pcurve.lack",NA,NA,NA,NA,NA,NA,NA,NA
"41",196,100,"k = 100",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","pcurve",0.267692164925992,0.267692164925992,0.268707581191425,0.267692164925992,0.219978499368154,0.3110485479766,NA,NA
"42",196,100,"k = 100",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","puniform",0.264371235484498,0.264371235484498,0.265343600400863,0.264371235484498,0.21790661861818,0.307523967690286,0,0
"43",196,100,"k = 100",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","topN.fixed",0.191688442587558,0.191688442587558,0.192352684898482,0.191688442587558,0.160127288771956,0.222300463933147,0,0
"44",196,100,"k = 100",0,"delta = 0","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","3PSM",0.00408127693588228,0.00408127693588228,0.0398138568685401,0.0319809023540968,-0.0738352328975076,0.0797487293943429,0.95,0.95
"45",197,10,"k = 10",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","reMA",0.306641152164258,0.106641152164258,0.120520894585553,0.107726340188535,0.192373047532945,0.414756615477415,0.561,0.005
"46",197,10,"k = 10",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","TF",0.297196455760745,0.0971964557607455,0.118814883569566,0.102765628335918,0.159652318166718,0.424077813975713,0.594,0.017
"47",197,10,"k = 10",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","PET.lm",0.0117915836022778,-0.188208416397722,1.0254195946082,0.759584646671278,-2.26341630534417,2.06602277525051,0.936,0.93
"48",197,10,"k = 10",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","PEESE.lm",0.152823598859394,-0.0471764011406063,0.515663166127766,0.387352215337292,-0.961145742639317,1.20767404787218,0.94,0.913
"49",197,10,"k = 10",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","PETPEESE.lm",0.0190118390566296,-0.18098816094337,0.938886682007499,0.708058068016847,-1.9858440912543,1.77122198732791,0.929,0.946
"50",197,10,"k = 10",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","pcurve.evidence",NA,NA,NA,NA,NA,NA,NA,NA
"51",197,10,"k = 10",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","pcurve.lack",NA,NA,NA,NA,NA,NA,NA,NA
"52",197,10,"k = 10",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","pcurve",0.341074722645161,0.141074722645161,0.16792060701032,0.149900652601049,0.20243757897101,0.468586754334973,NA,NA
"53",197,10,"k = 10",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","puniform",0.344287430241132,0.144287430241132,0.159210853093831,0.146101898373891,0.211556913918549,0.471125410424901,0.354,0.037
"54",197,10,"k = 10",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","topN.fixed",0.306641152164258,0.106641152164258,0.120520894585553,0.107726340188535,0.192373047532945,0.414756615477415,0.561,0.005
"55",197,10,"k = 10",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","3PSM",0.21653149327304,0.0165314932730399,0.132973133680365,0.10772216047308,-0.0843141792483263,0.422596420046466,0.822,0.506
"56",198,30,"k = 30",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","reMA",0.306148460274887,0.106148460274887,0.110727525313859,0.106155055930699,0.241522463290106,0.366934913855653,0.129,0
"57",198,30,"k = 30",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","TF",0.283660303855802,0.0836603038558021,0.0983845793782797,0.0858705734236367,0.182164868645898,0.375264373515869,0.39,0
"58",198,30,"k = 30",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","PET.lm",0.0675901931766088,-0.132409806823391,0.501484300020622,0.379727398793199,-0.929668388680114,0.983912737883402,0.898,0.885
"59",198,30,"k = 30",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","PEESE.lm",0.175730965936367,-0.0242690340636329,0.255903949159843,0.194327416586123,-0.365251618780379,0.676498651517293,0.894,0.8
"60",198,30,"k = 30",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","PETPEESE.lm",0.0710420914114473,-0.128957908588553,0.428090752358425,0.338026727929457,-0.787911106937275,0.829289616940088,0.875,0.907
"61",198,30,"k = 30",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","pcurve.evidence",NA,NA,NA,NA,NA,NA,NA,NA
"62",198,30,"k = 30",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","pcurve.lack",NA,NA,NA,NA,NA,NA,NA,NA
"63",198,30,"k = 30",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","pcurve",0.344049276455536,0.144049276455536,0.156883986089807,0.148569060601099,0.266392617831888,0.423409312251155,NA,NA
"64",198,30,"k = 30",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","puniform",0.344016677979947,0.144016677979947,0.148865281691814,0.144016677979947,0.268658407432976,0.420487599056486,0.042,0
"65",198,30,"k = 30",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","topN.fixed",0.306148460274887,0.106148460274887,0.110727525313859,0.106155055930699,0.241522463290106,0.366934913855653,0.129,0
"66",198,30,"k = 30",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","3PSM",0.206365410515826,0.00636541051582587,0.0791179125837054,0.0630954527825523,0.0360368543655813,0.343785623117836,0.902,0.305
"67",199,60,"k = 60",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","reMA",0.30552350173988,0.10552350173988,0.107962476873037,0.10552350173988,0.263327390624238,0.349977627810454,0.011,0
"68",199,60,"k = 60",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","TF",0.271066271147367,0.0710662711473665,0.0858920204938237,0.0721098252574864,0.191381854333139,0.355687376730474,0.403,0
"69",199,60,"k = 60",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","PET.lm",0.111433047799841,-0.0885669522001586,0.318087193874926,0.250061952735026,-0.49564830305261,0.691364302497266,0.904,0.894
"70",199,60,"k = 60",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","PEESE.lm",0.196237260614144,-0.00376273938585618,0.161805408053689,0.128403167221049,-0.119275083295659,0.505360966379891,0.925,0.681
"71",199,60,"k = 60",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","PETPEESE.lm",0.105275557053145,-0.0947244429468553,0.283261069556114,0.22941093219452,-0.416537727954504,0.550560627506074,0.888,0.907
"72",199,60,"k = 60",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","pcurve.evidence",NA,NA,NA,NA,NA,NA,NA,NA
"73",199,60,"k = 60",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","pcurve.lack",NA,NA,NA,NA,NA,NA,NA,NA
"74",199,60,"k = 60",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","pcurve",0.349366290387037,0.149366290387037,0.151702677109607,0.149366290387037,0.297275037897283,0.398720226385668,NA,NA
"75",199,60,"k = 60",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","puniform",0.345609505538698,0.145609505538698,0.147867603311731,0.145609505538698,0.295679142944808,0.392946031632156,0,0
"76",199,60,"k = 60",0.2,"delta = 0.2","none","QRP = none",0.6,"selProp = 0.6",0.2,"tau = 0.2","topN.fixed",0.30552350173988,0.10552350173988,0.107962476873037,0.10552350173988,0.263327390624238,0.349977627810454,0.011,0
