"metric"	"discipline"	"domain"	"predictor"	"b-adjusted"	"se-adjusted"	"t-adjusted"	"significance-adjusted"	"k-adjusted"	"H2-adjusted"	"I2-adjusted"	"Q-adjusted"	"tau2-adjusted"	"sterr.tau2-adjusted"	"tau/b-adjusted"	"b-notadjusted"	"se-notadjusted"	"t-notadjusted"	"significance-notadjusted"	"k-notadjusted"	"H2-notadjusted"	"I2-notadjusted"	"Q-notadjusted"	"tau2-notadjusted"	"sterr.tau2-notadjusted"	"tau/b-notadjusted"	"b-standardized"	"se-standardized"	"t-standardized"	"significance-standardized"	"k-standardized"	"H2-standardized"	"I2-standardized"	"Q-standardized"	"tau2-standardized"	"sterr.tau2-standardized"	"tau/b-standardized"	"b-notcoined"	"se-notcoined"	"t-notcoined"	"significance-notcoined"	"tau2-notcoined"	"sterr.tau2-notcoined"	"tau/b-notcoined"	"b-1.11coined"	"se-1.11coined"	"t-1.11coined"	"significance-1.11coined"	"tau2-1.11coined"	"sterr.tau2-1.11coined"	"tau/b-1.11coined"
"LOR"	"all"	"all"	"small-study(+)"	4.85156122079328	11.0147264576548	0.440461344132758	""	3042	1540328.09627913	0.999999350787665	4684137740.78482	369067.168424685	19055.1319368575	125.21927656763	4.85156122079328	11.0147264576548	0.440461344132758	""	3042	1540328.09627913	0.999999350787665	4684137740.78482	369067.168424685	19055.1319368575	125.21927656763	0.679994472910198	0.0731788224140708	9.292230326727	"***"	3032	5709.42278001612	0.999824850945791	17305260.4462288	11.446549410125	9.67043514838318	4.97544478397603	3.85573974025232	11.0215642059619	0.349835982279779	""	369525.532753788	19078.7975243561	157.657455947544	4.12815815929531	11.0214855297813	0.374555512334572	""	369520.257125859	19078.5251409561	147.25254107263
"LOR"	"all"	"all"	"grey literature(-)"	-0.112644353086258	0.296493458212502	-0.379921883488991	""	651	4168736.77789796	0.999999760119179	2709678905.63367	56.3802571098618	49.4021633869605	66.6582796223497	-0.0130822001102844	0.203464781276356	-0.0642971232083426	""	651	2110282.51614431	0.999999526129799	1371683635.4938	26.3952537664273	22.9650628950926	392.719198618464	-0.112644353086258	0.296493458212502	-0.379921883488991	""	651	4168736.77789796	0.999999760119179	2709678905.63367	56.3802571098618	49.4021633869605	66.6582796223497	0.0258462130429295	0.296493649704845	0.0871729059582185	""	56.3803305282249	49.4022277184509	290.513881562824	-0.0396019769302971	0.296493689084273	-0.133567689257092	""	56.3803456263443	49.4022409479004	189.60378400791
"LOR"	"all"	"all"	"year in m-a(-)"	-0.00647027869599614	0.00456471184553238	-1.41745611003437	""	3033	3891262.88692561	0.999999743014022	11798309073.1585	0.0577830764520173	0.0577188266317222	37.1515846505417	-0.0134455430397985	0.00455568139138473	-2.95137914280516	"**"	3033	4593439.74334111	0.999999782298222	13927309301.8102	0.0584058033372112	0.0585114579890451	17.9742034701305	-0.0224867163711843	0.0193131311661932	-1.16432266615298	""	3023	187837.263591753	0.999994676242717	567644210.574279	1.11669867195585	0.772070089390439	46.9939507850328	-0.00588029607908504	0.00469311517997487	-1.25296223373672	""	0.0612456874125035	0.0611775874655004	42.0860883858695	-0.00684276602993839	0.00469311502560426	-1.45804353667154	""	0.0612456831892577	0.0611775832469504	36.1664641029875
"LOR"	"all"	"all"	"year in m-a, abs.(-)"	0.00155537454082672	0.00550564005944822	0.282505671281133	""	3033	5756777.83075909	0.999999826291716	17454550382.8616	0.085484936607998	0.0853898846927332	187.979206087185	-0.00399177924791242	0.0051865836260012	-0.769635570494029	""	3033	6015604.95924927	0.99999983376568	18239314236.4438	0.0764887051792716	0.0766270713501279	69.2838700573037	-0.0442775739679816	0.018918866945948	-2.34039248198554	"*"	3023	180185.52461441	0.999994450164617	544520655.384746	1.0712085914423	0.740618874168626	23.3750854073127	0.00155537454082672	0.00550564005944822	0.282505671281133	""	0.085484936607998	0.0853898846927332	187.979206087185	0.00155537454082672	0.00550564005944822	0.282505671281133	""	0.085484936607998	0.0853898846927332	187.979206087185
"LOR"	"all"	"all"	"citations(+)"	0.000647953819806462	0.00119597084056817	0.541780616907546	""	2920	4751448.45330876	0.999999789537862	13869478035.2083	0.00401133411051467	0.00385676592030132	97.7463082930656	0.000735636984808798	0.0011869746097407	0.619757978622223	""	2920	5363962.65984623	0.999999813570663	15657407004.0912	0.0039817439084325	0.00381073441409669	85.7774450921076	0.000820475602260673	0.000691945250431231	1.18575219896276	""	2910	23154.3483571981	0.99995681156798	67355999.3710893	0.00129741784144189	0.000787133505204164	43.900984697232	0.000313932184259782	0.00121135431245632	0.259158019277785	""	0.0041171409380461	0.00395849570776158	204.391120842712	0.000309814469903935	0.00121135328401026	0.255758971386344	""	0.0041171338183769	0.00395848886243362	207.107484520992
"LOR"	"all"	"all"	"US author(+)"	0.0626518962243647	0.0822835559778002	0.761414543645488	""	2280	200034.850934388	0.999995000871122	455879425.279469	14.8664460938528	12.9907365451234	61.5416817887635	0.0275421022519367	0.0628874794345047	0.437958437825782	""	2281	126373.811669267	0.999992086968124	288132290.605928	8.66291382131515	7.38787168649475	106.864857437045	0.062548128492684	0.0822659773926837	0.760315873889401	""	2281	199947.116435734	0.999994998677561	455879425.473474	14.8664451994471	12.9907353761277	61.6437779648147	0.0669935448923075	0.0828545918713094	0.808567677170658	""	15.0777337409265	13.1753658859407	57.9608941035514	0.0673417794315423	0.0828544993747766	0.812771544571582	""	15.0776993961627	13.1753358744791	57.6611038712416
"LOR"	"all"	"all"	"team size(-)"	-0.0153919186394901	0.0304002043329664	-0.50630970999096	""	2895	5393278.61363885	0.999999814584027	15608148307.8708	2.61092946397324	2.46434328087785	104.979575078251	-0.0277476695082857	0.0316505074639094	-0.876689561452559	""	2896	6097952.95371697	0.999999836010542	17653573801.0106	2.85084020313415	2.64255136447693	60.849907753991	-0.0488318234298755	0.00722070537155847	-6.7627497477211	"***"	2885	2453.14554404206	0.999592360101736	7074871.74901731	0.134293676844979	0.0805042788247428	7.50455320066247	-0.00751538658895337	0.0283408089413842	-0.265178972290348	""	2.26508142766868	2.1379122929444	200.258327206907	-0.0228667491315755	0.0283407233904646	-0.806851286628383	""	2.2650675703193	2.13789921359228	65.8167076674042
"LOR"	"all"	"all"	"n. countries-author(+)"	0.111911734416071	0.146232309570145	0.765301011418336	""	2895	2934119.83362902	0.999999659182291	8491342798.5224	55.8197856450451	51.8815743441538	66.7603270688665	0.175044806190171	0.135553179301527	1.29133678082753	""	2896	2648524.85754479	0.999999622431333	7667479462.59217	48.5659982348014	45.0701376383663	39.8122690783574	1.27753293934918	0.158286942132595	8.07099386807918	"***"	2885	2542.35481945892	0.999606663872271	7332151.29931952	65.2588776859916	17.9454977207192	6.32335688432005	0.0386886321702016	0.13174154652301	0.293670699876323	""	44.7598139393302	41.6019084961576	172.926185106532	0.169722124784639	0.131741321185657	1.28829833538301	""	44.7596514505767	41.6017574713508	39.4189351153419
"LOR"	"all"	"all"	"industry collaborator(+)"	-0.0151259610076839	0.24033947391704	-0.0629358164148476	""	991	83464.6004582555	0.999988018872738	82629954.453673	56.1819131599946	33.5413993766968	495.536085219164	0.0493933877153642	0.0825989843716706	0.597990254857236	""	991	10698.6959052928	0.999906530664218	10591708.9462399	6.39777248206078	3.97014572752578	51.2089159080967	-0.0151259610076839	0.24033947391704	-0.0629358164148476	""	991	83464.6004582555	0.999988018872738	82629954.453673	56.1819131599946	33.5413993766968	495.536085219164	0.0334291177225373	0.240567947038141	0.138959151184165	""	56.289893567328	33.6058652077367	224.434852335621	0.00875142359187234	0.240567970758787	0.0363781743856801	""	56.289904783494	33.6058719039465	857.307359023852
"LOR"	"all"	"all"	"geo. distance(+)"	-0.00132642404135852	0.00186511970053331	-0.71117368015535	""	2740	2800738.1876892	0.999999642951275	7671221896.08072	0.00857590997113112	0.00807061979196658	69.8164434989746	0.000157687288170729	0.00199123077770199	0.0791908652359774	""	2741	3463362.49572768	0.999999711263259	9489613238.29383	0.00995659132831756	0.00937038810674886	632.788614398913	-0.00949218104800587	0.000823868408648194	-11.5214771538342	"***"	2730	1653.8824522503	0.999395362107725	4513445.21219106	0.0014848511126979	0.000688630840371099	4.05952706575716	5.00234922629891e-05	0.00183741986642011	0.0272248565377989	""	0.0083133724914088	0.00782355094603782	1822.69756090151	-0.00138536758652389	0.00183741897709364	-0.753974789525257	""	0.00831336412894983	0.00782354307629256	65.8147717359728
